template_id,template_name,template_dir,script_role,script_kind,script_name,script_relpath,script_path,script_size_bytes,title,requirement,purpose,method_summary,packages,functions_defined,input_references,output_references,chain_position,upstream_scripts,downstream_scripts,related_docs,companion_html,example_png,install_dependencies_file,input_file_count,input_files_preview,tags
000,ContributionTemplate,FigureYa000ContributionTemplate,documentation,Markdown,README.md,FigureYa000ContributionTemplate/README.md,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa000ContributionTemplate/README.md,9136,FigureYa000ContributionTemplate,,🎯 **This is a special educational module to help you learn how to contribute to the FigureYa project!,,,,,,,,,,,,,0,,figureya
101,PCA,FigureYa101PCA,tutorial,Rmd,FigureYa101PCA.Rmd,FigureYa101PCA/FigureYa101PCA.Rmd,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/FigureYa101PCA.Rmd,21605,FigureYa101PCA,"RNA-seq的PCA图，同一组用相同颜色，多次重复（批次）用不同形状。我的分组很多，3次重复，不需要像FigureYa38PCA那样画圈画箭头。 PCA plot of RNA seq, with the same color for the same group and different shapes for multiple repetitions (batches). I have many groups and repeat them three times, so I don't need to draw circles or arrows like in FigureYa38PCA. ![](example.png) From <http://genesdev.cshlp.org/content/32/2/96> 应用场景 Application scenarios 场景一：每个分组内的样品较多，是不同批次获得的。如果能用各种形状来区分批次的话，就能一眼看出哪个批次远离其他批次，有助于判断批次效应的影响。 场景二：每个分组内的样品是2到n次生物学重复获得的。如果能用各种形状来区分不同重复的话，就能一眼看出哪次重复远离其他重复，有助于判断去掉哪个离群样品。","RNA-seq的PCA图，同一组用相同颜色，多次重复（批次）用不同形状。我的分组很多，3次重复，不需要像FigureYa38PCA那样画圈画箭头。 PCA plot of RNA seq, with the same color for the same group and different shapes for multiple repetitions (batches). I have many groups and repeat them three times, so I don't need to draw circles or arrows like in FigureYa38PCA. ![](example.png) From <http://genesdev.cshlp.org/content/32/2/96> 应用场景 Application scenarios 场景一：每个分组内的样品较多，是不同批次获得的。如果能用各种形状来区分批次的话，就能一眼看出哪个批次远离其他批次，有助于判断批次效应的影响。 场景二：每个分组内的样品是2到n次生物学重复获得的。如果能用各种形状来区分不同重复的话，就能一眼看出哪次重复远离其他重复，有助于判断去掉哪个离群样品。",packages=ClassDiscovery;knitr;stringr | functions=pca2batch | inputs=install_dependencies.R;easy_input_expr.csv;easy_input_batch.csv;GSE125184_CCAB_RPKM_ExpMatrix.csv;easy_input_meta.csv,ClassDiscovery;knitr;stringr,pca2batch,install_dependencies.R;easy_input_expr.csv;easy_input_batch.csv;GSE125184_CCAB_RPKM_ExpMatrix.csv;easy_input_meta.csv,,,FigureYa101PCA/install_dependencies.R,,,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/FigureYa101PCA.html,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/example.png,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/install_dependencies.R,3,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/easy_input_batch.csv|/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/easy_input_expr.csv|/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/easy_input_meta.csv,dimension-reduction;figureya;omics;pca;single-cell
101,PCA,FigureYa101PCA,dependency,R,install_dependencies.R,FigureYa101PCA/install_dependencies.R,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/install_dependencies.R,2371,Auto-generated R dependency installation script,,Install dependency packages: BiocManager,packages=BiocManager | functions=install_bioc_package;install_cran_package;is_package_installed,BiocManager,install_bioc_package;install_cran_package;is_package_installed,,,,,FigureYa101PCA/FigureYa101PCA.Rmd,,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/FigureYa101PCA.html,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/example.png,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/install_dependencies.R,3,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/easy_input_batch.csv|/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/easy_input_expr.csv|/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa101PCA/easy_input_meta.csv,dimension-reduction;figureya;omics;pca;single-cell
102,multipanelROC,FigureYa102multipanelROC,tutorial,Rmd,FigureYa102multipanelROC.Rmd,FigureYa102multipanelROC/FigureYa102multipanelROC.Rmd,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa102multipanelROC/FigureYa102multipanelROC.Rmd,15458,FigureYa102multipanelROC,"FigureYa24ROC能拿到4个miRNA的ROC，每个miRNA一条线。这里的Figure5E是把上述4条miRNA都一起进行预测，Figure6根据4个miRNA建立logistic regression model，然后对不同病理分期的肿瘤阶段进行预测。 Requirement description Figure Ya24ROC can obtain ROC for 4 miRNAs, with one line for each miRNA. Figure 5E predicts all four miRNAs together, while Figure 6 establishes a logistic regression model based on the four miRNAs and predicts tumor stages at different pathological stages. ![](example.png) 出自<https://www.nature.com/articles/bjc2014489> from<https://www.nature.com/articles/bjc2014489> Figure 5. Receiver operating characteristic (ROC) curves for the ability of the four individual miRNAs (A–D) and **the 4-miRNA panel (E)** to differentiate the CAC patient","FigureYa24ROC能拿到4个miRNA的ROC，每个miRNA一条线。这里的Figure5E是把上述4条miRNA都一起进行预测，Figure6根据4个miRNA建立logistic regression model，然后对不同病理分期的肿瘤阶段进行预测。 Requirement description Figure Ya24ROC can obtain ROC for 4 miRNAs, with one line for each miRNA. Figure 5E predicts all four miRNAs together, while Figure 6 establishes a logistic regression model based on the four miRNAs and predicts tumor stages at different pathological stages. ![](example.png) 出自<https://www.nature.com/articles/bjc2014489> from<https://www.nature.com/articles/bjc2014489> Figure 5. Receiver operating characteristic (ROC) curves for the ability of the four individual miRNAs (A–D) and **the 4-miRNA panel (E)** to differentiate the CAC patient",packages=ggplot2;knitr;pROC | inputs=install_dependencies.R;easy_input_train.txt;easy_input_test.txt | outputs=multipanelROC.pdf,ggplot2;knitr;pROC,,install_dependencies.R;easy_input_train.txt;easy_input_test.txt,multipanelROC.pdf,,FigureYa102multipanelROC/install_dependencies.R,,,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa102multipanelROC/FigureYa102multipanelROC.html,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa102multipanelROC/example.png,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa102multipanelROC/install_dependencies.R,2,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa102multipanelROC/easy_input_test.txt|/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa102multipanelROC/easy_input_train.txt,diagnostic;figureya;model-evaluation;omics;roc;single-cell
102,multipanelROC,FigureYa102multipanelROC,dependency,R,install_dependencies.R,FigureYa102multipanelROC/install_dependencies.R,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa102multipanelROC/install_dependencies.R,1980,Auto-generated R dependency installation script,,Install dependency packages: BiocManager,packages=BiocManager | functions=install_bioc_package;install_cran_package;is_package_installed,BiocManager,install_bioc_package;install_cran_package;is_package_installed,,,,,FigureYa102multipanelROC/FigureYa102multipanelROC.Rmd,,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa102multipanelROC/FigureYa102multipanelROC.html,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa102multipanelROC/example.png,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa102multipanelROC/install_dependencies.R,2,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa102multipanelROC/easy_input_test.txt|/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa102multipanelROC/easy_input_train.txt,diagnostic;figureya;model-evaluation;omics;roc;single-cell
103,coAbundant,FigureYa103coAbundant,tutorial,Rmd,FigureYa103coAbundant.Rmd,FigureYa103coAbundant/FigureYa103coAbundant.Rmd,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa103coAbundant/FigureYa103coAbundant.Rmd,23102,FigureYa103coAbundant,"这个图，想知道怎么聚类的。WGCNA这个方法不会做，输入的是代谢化合物在各个sample里的浓度。 Requirement description I want to know how to cluster this graph. The WGCNA method does not perform it, it only inputs the concentration of metabolic compounds in each sample. ![](example.png) 出自<https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-019-0683-9> from<https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-019-0683-9> Clusters of co-abundant serum metabolites were identified using the R package WGCNA [65]. Signed, weighted metabolite co-abundance correlation networks were calculated for all examined individuals. A scale-free topology criterion was used to choose the soft threshold β = 14 for serum meta","这个图，想知道怎么聚类的。WGCNA这个方法不会做，输入的是代谢化合物在各个sample里的浓度。 Requirement description I want to know how to cluster this graph. The WGCNA method does not perform it, it only inputs the concentration of metabolic compounds in each sample. ![](example.png) 出自<https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-019-0683-9> from<https://microbiomejournal.biomedcentral.com/articles/10.1186/s40168-019-0683-9> Clusters of co-abundant serum metabolites were identified using the R package WGCNA [65]. Signed, weighted metabolite co-abundance correlation networks were calculated for all examined individuals. A scale-free topology criterion was used to choose the soft threshold β = 14 for serum meta",packages=ClassDiscovery;WGCNA;gplots;knitr;pheatmap | functions=netconstruct | inputs=install_dependencies.R;easy_input_data.txt;easy_input_anno.txt;output_correlation matrix.txt;output_correlation star.txt | outputs=picksoftthreshold.pdf;output_pairwiseCorrelationResults.txt;output_correlation matrix.txt;output_correlation star.txt,ClassDiscovery;WGCNA;gplots;knitr;pheatmap,netconstruct,install_dependencies.R;easy_input_data.txt;easy_input_anno.txt;output_correlation matrix.txt;output_correlation star.txt,picksoftthreshold.pdf;output_pairwiseCorrelationResults.txt;output_correlation matrix.txt;output_correlation star.txt,,FigureYa103coAbundant/install_dependencies.R,,,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa103coAbundant/FigureYa103coAbundant.html,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa103coAbundant/example.png,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa103coAbundant/install_dependencies.R,2,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa103coAbundant/easy_input_anno.txt|/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa103coAbundant/easy_input_data.txt,coexpression;correlation;epigenomics;figureya;heatmap;matrix;methylation;network;omics;single-cell;statistics;visualization;wgcna
103,coAbundant,FigureYa103coAbundant,dependency,R,install_dependencies.R,FigureYa103coAbundant/install_dependencies.R,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa103coAbundant/install_dependencies.R,3146,Auto-generated R dependency installation script,,Install dependency packages: BiocManager,packages=BiocManager | functions=install_bioc_packages;install_cran_package;is_package_installed,BiocManager,install_bioc_packages;install_cran_package;is_package_installed,,,,,FigureYa103coAbundant/FigureYa103coAbundant.Rmd,,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa103coAbundant/FigureYa103coAbundant.html,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa103coAbundant/example.png,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa103coAbundant/install_dependencies.R,2,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa103coAbundant/easy_input_anno.txt|/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa103coAbundant/easy_input_data.txt,figureya;omics;single-cell
104,GEOmining,FigureYa104GEOmining,tutorial,Notebook,FigureYa104GEOmining.ipynb,FigureYa104GEOmining/FigureYa104GEOmining.ipynb,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa104GEOmining/FigureYa104GEOmining.ipynb,15536,FigureYa104GEOmining,"在GEO数据库中检索到的高通量数据，想批量获得它们出自哪篇文章，标注影响因子，输出文本文件和网页，网页文件里有链接到每篇文章的pubmed页面。 用法参考这篇帖子：**<https://mp.weixin.qq.com/s/G-CQhNEJBmMRuDe2kxND_w> Requirement Description Retrieve high-throughput data from the GEO database and obtain information on which articles they are from in bulk, annotate the impact factors, and output text files and web pages. The web page files should include links to the PubMed pages of each article. **For usage, refer to this post:** <https://mp.weixin.qq.com/s/G-CQhNEJBmMRuDe2kxND_w> 应用场景 场景一：老板让测序，怎样设计实验呢？参考测同样数据的文章是怎样设计实验的。 场景二：测序数据回来了，怎样分析？能画哪些图？结果怎样描述？参考类似的数据的文章吧！","在GEO数据库中检索到的高通量数据，想批量获得它们出自哪篇文章，标注影响因子，输出文本文件和网页，网页文件里有链接到每篇文章的pubmed页面。 用法参考这篇帖子：**<https://mp.weixin.qq.com/s/G-CQhNEJBmMRuDe2kxND_w> Requirement Description Retrieve high-throughput data from the GEO database and obtain information on which articles they are from in bulk, annotate the impact factors, and output text files and web pages. The web page files should include links to the PubMed pages of each article. **For usage, refer to this post:** <https://mp.weixin.qq.com/s/G-CQhNEJBmMRuDe2kxND_w> 应用场景 场景一：老板让测序，怎样设计实验呢？参考测同样数据的文章是怎样设计实验的。 场景二：测序数据回来了，怎样分析？能画哪些图？结果怎样描述？参考类似的数据的文章吧！",packages=Bio;IPython;bs4;markdown;metapub;pytablewriter;re;sys;tqdm;urllib | inputs=GEO_citations.txt;GEO_citations.html,Bio;IPython;bs4;markdown;metapub;pytablewriter;re;sys;tqdm;urllib,,GEO_citations.txt;GEO_citations.html,,,,,,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa104GEOmining/FigureYa104GEOmining.html,,,0,,figureya;omics;single-cell
105,GDSC,FigureYa105GDSC,tutorial,Rmd,FigureYa105GDSC.Rmd,FigureYa105GDSC/FigureYa105GDSC.Rmd,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa105GDSC/FigureYa105GDSC.Rmd,15249,FigureYa105GDSC,"利用pRRophetic算法，根据GDSC<www.cancerrxgene.org/>细胞系表达谱和TCGA基因表达谱构建岭回归模型预测药物IC50（使用原文数据，复现原图） 提示：pRRophetic的示例可参考：https://github.com/paulgeeleher/pRRophetic/blob/master/vignetteOutline.pdf Requirement description Using the pRRophetic algorithm, a ridge regression model was constructed based on the expression profiles of GDSC<www.cancerrxgene. org/>cell lines and TCGA gene expression profiles to predict drug IC50 (using the original data and reproducing the original image) Tip: For an example of pRRophetic, please refer to: https://github.com/paulgeeleher/pRRophetic/blob/master/vignetteOutline.pdf ![](example.png) 出自<https://www.sciencedirect.com/science/article/pii/S1476558619301307>","利用pRRophetic算法，根据GDSC<www.cancerrxgene.org/>细胞系表达谱和TCGA基因表达谱构建岭回归模型预测药物IC50（使用原文数据，复现原图） 提示：pRRophetic的示例可参考：https://github.com/paulgeeleher/pRRophetic/blob/master/vignetteOutline.pdf Requirement description Using the pRRophetic algorithm, a ridge regression model was constructed based on the expression profiles of GDSC<www.cancerrxgene. org/>cell lines and TCGA gene expression profiles to predict drug IC50 (using the original data and reproducing the original image) Tip: For an example of pRRophetic, please refer to: https://github.com/paulgeeleher/pRRophetic/blob/master/vignetteOutline.pdf ![](example.png) 出自<https://www.sciencedirect.com/science/article/pii/S1476558619301307>",packages=cowplot;ggplot2;knitr | inputs=install_dependencies.R;drugAndPhenoCgp.RData;predict_from_cgp.R;easy_input_expr.txt;easy_input_anno.txt;drug.txt | outputs=boxplot of predicted IC50.pdf;boxplot of predicted IC50_multiple.pdf;output_pvalue.txt,cowplot;ggplot2;knitr,,install_dependencies.R;drugAndPhenoCgp.RData;predict_from_cgp.R;easy_input_expr.txt;easy_input_anno.txt;drug.txt,boxplot of predicted IC50.pdf;boxplot of predicted IC50_multiple.pdf;output_pvalue.txt,,FigureYa105GDSC/install_dependencies.R;FigureYa105GDSC/predict_from_cgp.R,,,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa105GDSC/FigureYa105GDSC.html,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa105GDSC/example.png,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa105GDSC/install_dependencies.R,2,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa105GDSC/easy_input_anno.txt|/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa105GDSC/easy_input_expr.txt,cancer;drug-response;enrichment;figureya;go;omics;pathway;pharmacogenomics;single-cell
105,GDSC,FigureYa105GDSC,dependency,R,install_dependencies.R,FigureYa105GDSC/install_dependencies.R,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa105GDSC/install_dependencies.R,2668,Script to install necessary dependency packages,,Install dependency packages: BiocManager,packages=BiocManager | functions=install_bioc_package;install_cran_package;install_dependencies;is_installed;main,BiocManager,install_bioc_package;install_cran_package;install_dependencies;is_installed;main,,,,,FigureYa105GDSC/FigureYa105GDSC.Rmd,,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa105GDSC/FigureYa105GDSC.html,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa105GDSC/example.png,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa105GDSC/install_dependencies.R,2,/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa105GDSC/easy_input_anno.txt|/home/h2048/temp/FigureYa_templates_extracted_20260509/FigureYa105GDSC/easy_input_expr.txt,cancer;drug-response;figureya;omics;pharmacogenomics;single-cell
